yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
20043,1114.58,19.163,57.770,0.2894853015,0.0165,0.0546,0.0627,0.0488,-0.0083532357,0.0091354844,0.0041250000,0.0047644300,0.0657461276,0.0693189307,0.0029256060,NaN,0.0352729043,-0.0187720960,-0.0231144778,4.882,14.180
20044,1211.92,19.440,58.550,0.2706192427,0.0219,0.0547,0.0615,0.0484,-0.0061274164,0.0130002322,0.0054750000,0.0100105400,0.0164306310,0.0216710504,0.0028157301,NaN,0.0356556873,0.0917670927,0.0834408457,5.334,13.940
20051,1180.59,20.226,60.320,0.3198568893,0.0274,0.0540,0.0606,0.0488,-0.0068307547,0.0091349962,0.0068500000,0.0073030800,0.0094949248,0.0034873880,0.0025157385,NaN,0.0357157874,-0.0203611723,-0.0248173962,5.345,16.850
20052,1191.33,20.926,63.360,0.3269790569,0.0297,0.0496,0.0586,0.0429,-0.0053400335,0.0053629347,0.0074250000,0.0031072000,0.0859452104,0.0781552716,0.0032273958,NaN,0.0358449371,0.0142008796,0.0096149051,5.364,18.290
20053,1228.81,21.475,66.570,0.3178915098,0.0342,0.0513,0.0603,0.0464,-0.0037206363,0.0067361207,0.0085500000,0.0263293700,-0.0303787244,-0.0326167959,0.0020065133,NaN,0.0361103384,0.0361545522,0.0315760010,5.432,17.390
20054,1248.29,22.220,69.930,0.3134779566,0.0389,0.0537,0.0632,0.0461,-0.0024061527,0.0030790439,0.0097250000,-0.0035211300,0.0142266628,0.0115572459,0.0027908810,NaN,0.0358567856,0.0219545755,0.0169596386,6.079,17.300
20061,1294.83,22.785,72.670,0.3160094407,0.0451,0.0553,0.0641,0.0507,-0.0166963362,0.0021774747,0.0112750000,0.0080767300,-0.0428125027,-0.0371556308,0.0021691768,NaN,0.0367797499,0.0421973479,0.0373836741,5.912,19.690
20062,1270.20,23.440,74.490,0.3148502899,0.0479,0.0589,0.0678,0.0531,-0.0082502568,-0.0021637049,0.0119750000,0.0105157700,-0.0147429672,-0.0205501853,0.0040577700,NaN,0.0368055100,-0.0150359793,-0.0196590912,6.017,20.110
20063,1335.85,24.096,78.570,0.3005932835,0.0481,0.0551,0.0643,0.0484,-0.0050626571,-0.0094131847,0.0120250000,0.0049554000,0.0682517252,0.0800655669,0.0024342804,NaN,0.0368101772,0.0571333233,0.0522477225,6.088,21.470
20064,1418.30,24.881,81.510,0.2816823997,0.0485,0.0532,0.0622,0.0491,-0.0121311080,-0.0149557599,0.0121250000,0.0014792900,0.0042853884,0.0135398119,0.0014002892,NaN,0.0366169631,0.0659882311,0.0606889270,6.864,20.240
20071,1420.86,25.491,83.150,0.2690500135,0.0494,0.0530,0.0627,0.0493,-0.0239310178,-0.0124906939,0.0123500000,0.0107730200,0.0081254047,-0.0001881489,0.0035148508,NaN,0.0368176131,0.0065820786,0.0020479155,6.522,21.330
20072,1503.35,26.166,84.950,0.2478956100,0.0461,0.0579,0.0670,0.0521,-0.0179728450,-0.0110259577,0.0115250000,0.0094793700,-0.0206638030,-0.0187892718,0.0027511223,NaN,0.0371022671,0.0620168528,0.0571980841,6.692,21.881
20073,1526.75,26.974,78.601,0.2392074367,0.0389,0.0574,0.0659,0.0489,-0.0135839660,-0.0130641053,0.0097250000,0.0063358300,0.0501237982,0.0256127034,0.0094287376,NaN,0.0372271775,0.0202731221,0.0153701427,6.896,15.150
20074,1468.36,27.731,66.180,0.2505829731,0.0300,0.0549,0.0665,0.0450,-0.0115829706,-0.0416596719,0.0075000000,0.0138961500,0.0599426263,0.0196164747,0.0096650442,NaN,0.0373978362,-0.0307050793,-0.0356807454,7.621,7.820
20081,1322.70,28.301,60.391,0.2540575672,0.0126,0.0551,0.0689,0.0432,-0.0079836959,-0.0528711385,0.0031500000,0.0094729100,0.0339836064,-0.0112801388,0.0143951026,NaN,0.0369497512,-0.0937549705,-0.0985050578,7.092,15.540
20082,1280.00,28.712,51.370,0.2744913881,0.0186,0.0568,0.0707,0.0460,-0.0245117148,-0.0484321663,0.0046500000,0.0188102000,-0.0237116890,-0.0248370724,0.0079695303,NaN,0.0363029850,-0.0257276964,-0.0308018201,7.103,12.860
20083,1166.36,28.854,45.950,0.2871235482,0.0113,0.0565,0.0731,0.0443,0.0028459998,-0.0505443960,0.0028250000,0.0065022600,0.0330818624,-0.0853240679,0.0316884977,NaN,0.0349283714,-0.0785716601,-0.0837884025,7.038,9.730
20084,903.25,28.387,14.880,0.3549842247,0.0003,0.0505,0.0843,0.0303,-0.0010490951,-0.0248706080,0.0000750000,-0.0341698800,0.2068890791,0.2335872520,0.1144355244,NaN,0.0325660716,-0.2189603664,-0.2249936309,7.154,-23.250
20091,797.87,27.253,6.860,0.4461408452,0.0021,0.0550,0.0842,0.0355,0.0090602505,-0.0378813317,0.0005250000,0.0051892600,-0.0607940129,-0.1243560813,0.0422966870,NaN,0.0299801224,-0.1055748350,-0.1136080267,5.958,7.520
20092,919.32,25.593,7.510,0.4018764058,0.0018,0.0561,0.0750,0.0429,-0.0064718781,-0.0226240525,0.0004500000,0.0108002500,-0.0805216310,0.0823546655,0.0174046799,NaN,0.0288722838,0.1568760776,0.1499779860,5.443,13.510
20093,1057.08,23.899,12.540,0.3495214306,0.0012,0.0513,0.0631,0.0403,-0.0021043450,0.0000732098,0.0003000000,0.0049862700,0.0430846625,0.1108479976,0.0078615462,NaN,0.0283928434,0.1524406042,0.1464594886,5.345,14.760
20094,1115.10,22.407,50.970,0.3255306601,0.0005,0.0526,0.0637,0.0458,-0.0027258087,0.0105403586,0.0001250000,0.0068840600,-0.0552509883,-0.0216581536,0.0068328056,NaN,0.0280398717,0.0606571298,0.0550163721,5.661,15.180
20101,1169.43,21.908,60.930,0.3818781703,0.0015,0.0527,0.0627,0.0458,-0.0067416498,0.0263345191,0.0003750000,0.0000276100,0.0111964227,0.0180388911,0.0049983977,NaN,0.0282455742,0.0542099719,0.0490513791,5.459,17.480
20102,1030.71,22.042,67.100,0.4241765415,0.0012,0.0488,0.0623,0.0376,-0.0110217392,0.0187125343,0.0003000000,-0.0007085300,0.1233327301,0.0839820965,0.0154933849,NaN,0.0289251054,-0.1154376527,-0.1199449909,5.575,19.680
20103,1141.20,22.356,71.860,0.3843057828,0.0015,0.0453,0.0566,0.0341,-0.0155374754,0.0032265360,0.0003750000,0.0049539800,0.0563754186,0.0497701326,0.0083906248,NaN,0.0293937942,0.1141709365,0.1078011149,5.661,19.520
20104,1257.64,22.730,77.350,0.3581003169,0.0014,0.0502,0.0610,0.0414,-0.0159184413,0.0125550274,0.0003500000,0.0100652900,-0.0820959556,-0.0294111966,0.0036500800,NaN,0.0298757068,0.1083202060,0.1019091872,6.034,20.670
20111,1325.83,23.431,81.310,0.3542699394,0.0010,0.0513,0.0603,0.0429,-0.0247446133,0.0124454877,0.0002500000,0.0116749500,-0.0091163671,-0.0115791018,0.0042760580,NaN,0.0296626963,0.0572764143,0.0523320085,6.161,21.440
20112,1320.64,24.341,83.870,0.3515700392,0.0004,0.0499,0.0575,0.0404,-0.0165086700,0.0117181387,0.0001000000,0.0078907500,0.0372021445,0.0281597312,0.0038654815,NaN,0.0301558266,0.0009555168,-0.0039666313,6.485,22.240
20113,1131.42,25.181,86.980,0.3999228470,0.0001,0.0409,0.0527,0.0265,-0.0077645154,0.0132008715,0.0000250000,0.0079668700,0.2117330899,0.1341002240,0.0279686936,NaN,0.0313613499,-0.1381784088,-0.1427747367,6.501,22.630
20114,1257.60,26.425,86.950,0.3572325407,0.0001,0.0393,0.0525,0.0248,-0.0070692087,-0.0065046624,0.0000250000,0.0027626100,0.0205627024,0.0233067864,0.0178444887,NaN,0.0318794952,0.1164249440,0.1097988736,7.278,20.640
20121,1408.47,27.353,88.540,0.3461819674,0.0008,0.0399,0.0523,0.0290,-0.0195139551,-0.0137921071,0.0002000000,0.0073540100,-0.0490179216,-0.0058533006,0.0024271486,NaN,0.0325866989,0.1263457729,0.1205289981,7.089,23.030
20122,1362.16,28.320,87.920,0.3551038851,0.0009,0.0364,0.0502,0.0225,-0.0209873539,-0.0198316065,0.0002250000,-0.0016951100,0.0927633838,0.0671497660,0.0065608843,NaN,0.0329340851,-0.0267126599,-0.0320911468,7.452,21.620
20123,1440.67,29.590,86.500,0.3403829538,0.0011,0.0349,0.0484,0.0226,-0.0252142538,-0.0182558561,0.0002750000,0.0108574800,0.0028731522,0.0380840714,0.0033246741,NaN,0.0325046587,0.0634514711,0.0575806430,7.771,21.210
20124,1426.19,31.247,86.510,0.3490324432,0.0007,0.0365,0.0463,0.0241,-0.0393554226,-0.0122655894,0.0001750000,0.0012338400,-0.0074823528,0.0049409750,0.0038638886,NaN,0.0325584672,-0.0046621232,-0.0116450397,8.935,20.650
20131,1569.19,32.108,87.700,0.3461299966,0.0009,0.0393,0.0485,0.0284,-0.0252905992,-0.0095482096,0.0002250000,0.0045011900,-0.0282409734,-0.0240509660,0.0026340346,NaN,0.0326288306,0.1061320521,0.1003483334,7.950,24.220
20132,1606.28,33.266,90.950,0.3384443580,0.0005,0.0427,0.0519,0.0329,-0.0336267459,0.0001412793,0.0001250000,0.0001894000,-0.0551945078,-0.0569074693,0.0049459307,NaN,0.0324623723,0.0288725431,0.0233124502,8.610,24.870
20133,1681.55,34.405,94.370,0.3335214846,0.0002,0.0464,0.0547,0.0342,-0.0358595022,0.0101419436,0.0000500000,0.0055302800,-0.0191162163,-0.0029289921,0.0020747441,NaN,0.0325022898,0.0522329216,0.0466004361,8.910,24.630
20134,1848.36,34.990,100.200,0.3044081256,0.0007,0.0462,0.0538,0.0367,-0.0356780503,0.0121835026,0.0001750000,0.0051574600,-0.0315722669,0.0125210037,0.0028283148,NaN,0.0329363826,0.1063883499,0.1005283805,9.520,26.480
20141,1872.34,36.230,100.850,0.3506160657,0.0005,0.0438,0.0506,0.0331,-0.0425088831,0.0164642030,0.0001250000,0.0044710000,0.0692999348,0.0569689077,0.0034261958,NaN,0.0333313835,0.0173680992,0.0122333340,9.190,24.870
20142,1960.23,37.380,103.120,0.3429284585,0.0004,0.0425,0.0480,0.0307,-0.0422805741,0.0139314283,0.0001000000,0.0047436000,0.0438887275,0.0371710016,0.0021998559,NaN,0.0334161644,0.0511221785,0.0458072881,9.760,27.140
20143,1927.29,38.490,105.960,0.3385761813,0.0002,0.0411,0.0480,0.0295,-0.0433159038,0.0080246546,0.0000500000,0.0020842500,0.0250825544,0.0099533246,0.0022163315,NaN,0.0338605308,0.0105435879,0.0053768422,10.020,27.470
20144,2058.90,39.440,102.310,0.3237556717,0.0003,0.0379,0.0474,0.0240,-0.0472248104,0.0056424574,0.0000750000,-0.0044040200,0.0901822820,0.0592247133,0.0050870677,NaN,0.0336198673,0.0506660979,0.0450795716,10.470,22.830
20151,2067.89,40.800,99.250,0.3074540451,0.0003,0.0364,0.0454,0.0223,-0.0585160023,-0.0068998347,0.0000750000,-0.0025585300,0.0287959494,0.0319339026,0.0047605471,NaN,0.0334638237,0.0102923622,0.0049630438,10.550,21.810
20152,2063.11,41.730,94.910,0.3101868327,0.0002,0.0419,0.0513,0.0261,-0.0568001991,-0.0080975261,0.0000500000,0.0066310800,-0.0690955255,-0.0728932374,0.0025134771,NaN,0.0335173077,0.0015097008,-0.0036360505,10.690,22.800
